Harvests;Plots;Replicates;Hybrids;yd;wb
Yr1;1375;5;H137;17.26333333;0
Yr1;1376;6;H137;26.39666667;0
Yr1;1377;7;H137;12.99333333;0
Yr1;1378;8;H137;26.97;0
Yr1;1379;9;H137;21.32666667;0
Yr1;1381;1;H138;22.8;0
Yr1;1382;2;H138;9.566666667;0
Yr1;1383;3;H138;17.67333333;0
Yr1;1384;4;H138;8.793333333;0
Yr1;1385;5;H138;15;0
Yr1;1386;6;H138;14.33333333;0
Yr1;1387;7;H138;12.54;0
Yr1;1388;8;H138;22.86333333;0
Yr1;1389;9;H138;4.483333333;0
Yr1;1401;1;H140;12.14666667;0
Yr1;1402;2;H140;22.55666667;0
Yr1;1403;3;H140;22.87333333;0
Yr1;1404;4;H140;17.90333333;1
Yr1;1405;5;H140;6.996666667;0
Yr1;1436;6;H143;20.5;0
Yr1;1437;7;H143;10.36666667;0
Yr1;1438;8;H143;20.21;0
Yr1;1439;9;H143;14.34;0
Yr1;1446;6;H144;11.67;0
Yr1;1447;7;H144;22.29;0
Yr1;1448;8;H144;11.37333333;0
Yr1;1449;9;H144;12.98666667;0
Yr1;1491;1;H149;12.04333333;0
Yr1;1492;2;H149;15.52333333;0
Yr1;1493;3;H149;17.12;0
Yr1;1494;4;H149;8.766666667;0
Yr1;1495;5;H149;14.48;0
Yr1;1506;6;H150;24.88;0
Yr1;1507;7;H150;13.58;0
Yr1;1508;8;H150;16.10666667;0
Yr1;1509;9;H150;28.87;0
Yr1;1521;1;H152;15.84333333;0
Yr1;1522;2;H152;6.303333333;0
Yr1;1523;3;H152;8.996666667;0
Yr1;1524;4;H152;19.37666667;0
Yr1;1525;5;H152;7.436666667;0
Yr1;1526;6;H152;32.74666667;0
Yr1;1527;7;H152;13.23666667;0
Yr1;1528;8;H152;13.69333333;0
Yr1;1529;9;H152;7.586666667;0
Yr1;1571;1;H157;34.31;0
Yr1;1572;2;H157;9.846666667;0
Yr1;1573;3;H157;17.24333333;0
Yr1;1574;4;H157;34.18666667;0
Yr1;1575;5;H157;9.553333333;0
Yr1;1611;1;H161;13.98666667;0
Yr1;1612;2;H161;5.306666667;0
Yr1;1613;3;H161;26.44;0
Yr1;1614;4;H161;14.89333333;0
Yr1;1615;5;H161;9.966666667;0
Yr1;1626;6;H162;9.446666667;0
Yr1;1627;7;H162;17.66666667;0
Yr1;1628;8;H162;6.133333333;0
Yr1;1629;9;H162;12.31;0
Yr1;1636;6;H163;14.96333333;0
Yr1;1637;7;H163;10.16666667;0
Yr1;1638;8;H163;11.58;0
Yr1;1639;9;H163;8.693333333;0
Yr1;1651;1;H165;21.06666667;0
Yr1;1652;2;H165;29.99333333;0
Yr1;1653;3;H165;26.52;0
Yr1;1654;4;H165;35.15;0
Yr1;1655;5;H165;12.56;0
Yr1;1656;6;H165;22.00666667;0
Yr1;1657;7;H165;14.01666667;0
Yr1;1658;8;H165;25.43666667;0
Yr1;1659;9;H165;18.76;0
Yr1;1661;1;H166;20.54666667;0
Yr1;1662;2;H166;21.63333333;0
Yr1;1663;3;H166;22.49;0
Yr1;1664;4;H166;14.76;0
Yr1;1665;5;H166;24.20666667;0
Yr1;1666;6;H166;8.09;0
Yr1;1667;7;H166;12.25;0
Yr1;1668;8;H166;16;0
Yr1;1669;9;H166;22.86666667;0
Yr1;1671;1;H167;11.18333333;0
Yr1;1672;2;H167;19.69666667;0
Yr1;1673;3;H167;15.54666667;0
Yr1;1674;4;H167;16.87333333;0
Yr1;1675;5;H167;14.01333333;0
Yr1;1696;6;H169;23.03666667;0
Yr1;1697;7;H169;6.633333333;0
Yr1;1698;8;H169;12.74;0
Yr1;1699;9;H169;24.66;0
Yr1;11710;10;H117;15.40666667;0
Yr1;11810;10;H118;9.813333333;0
Yr1;12110;10;H121;17.64;0
Yr1;12310;10;H123;13.26333333;0
Yr1;12410;10;H124;21.42;0
Yr1;12510;10;H125;29.36666667;0
Yr1;12610;10;H126;7.88;0
Yr1;12710;10;H127;21.71333333;0
Yr1;13010;10;H130;18.87333333;0
Yr1;13110;10;H131;32.40333333;0
Yr1;13210;10;H132;20.79666667;0
Yr1;13410;10;H134;4.183333333;0
Yr1;13510;10;H135;20.27333333;0
Yr1;13610;10;H136;19.89;0
Yr1;13710;10;H137;15.78;0
Yr1;13810;10;H138;14.41666667;0
Yr1;14310;10;H143;15.60333333;0
Yr1;14410;10;H144;13.09333333;0
Yr1;15010;10;H150;5.72;0
Yr1;15210;10;H152;16.39333333;0
Yr1;16210;10;H162;12.08333333;0
Yr1;16310;10;H163;12.80333333;0
Yr1;16510;10;H165;21.41666667;0
Yr1;16610;10;H166;15.33;0
Yr1;16910;10;H169;15.25666667;0
Yr2;1171;1;H117;10.79;0
Yr2;1172;2;H117;26.28;0
Yr2;1173;3;H117;21.12666667;0
Yr2;1174;4;H117;16.02666667;0
Yr2;1175;5;H117;36.23333333;0
Yr2;1176;6;H117;26.385;0
Yr2;1177;7;H117;18.61;0
Yr2;1178;8;H117;21.78333333;0
Yr2;1179;9;H117;20.31666667;0
Yr2;1181;1;H118;17.23333333;0
Yr2;1182;2;H118;8.346666667;0
Yr2;1183;3;H118;19.97666667;0
Yr2;1184;4;H118;8.713333333;0
Yr2;1185;5;H118;19.09;0
Yr2;1186;6;H118;14.97666667;0
Yr2;1187;7;H118;24.78666667;0
Yr2;1188;8;H118;11.79666667;0
Yr2;1189;9;H118;13.22666667;0
Yr2;1201;1;H120;18.94;0
Yr2;1202;2;H120;8.696666667;0
Yr2;1203;3;H120;18.87;0
Yr2;1204;4;H120;26.73333333;0
Yr2;1205;5;H120;15.00666667;0
Yr2;1211;1;H121;12.47;0
Yr2;1212;2;H121;28.15333333;0
Yr2;1213;3;H121;21.60333333;1
Yr2;1214;4;H121;11.29666667;0
Yr2;1215;5;H121;3.863333333;0
Yr2;1216;6;H121;11.45666667;0
Yr2;1217;7;H121;12.07666667;0
Yr2;1218;8;H121;24.38;0
Yr2;1219;9;H121;23.5;0
Yr2;1231;1;H123;15.72666667;0
Yr2;1232;2;H123;13.61;0
Yr2;1233;3;H123;5.44;0
Yr2;1234;4;H123;16.67333333;0
Yr2;1235;5;H123;7.533333333;0
Yr2;1236;6;H123;6.55;0
Yr2;1237;7;H123;12.87;0
Yr2;1238;8;H123;5.026666667;0
Yr2;1239;9;H123;0.67;0
Yr2;1241;1;H124;18.03;0
Yr2;1242;2;H124;28.45;0
Yr2;1243;3;H124;5.6;0
Yr2;1244;4;H124;12.86;0
Yr2;1245;5;H124;20.83666667;0
Yr2;1246;6;H124;10.18333333;0
Yr2;1247;7;H124;6.683333333;0
Yr2;1248;8;H124;13.84;0
Yr2;1249;9;H124;21.16333333;0
Yr2;1256;6;H125;24.37666667;0
Yr2;1257;7;H125;29.42;0
Yr2;1258;8;H125;29.52333333;0
Yr2;1259;9;H125;23.22;0
Yr2;1266;6;H126;13.29333333;0
Yr2;1267;7;H126;15.13666667;0
Yr2;1268;8;H126;6.44;0
Yr2;1269;9;H126;15.6;0
Yr2;1271;1;H127;23.65;0
Yr2;1272;2;H127;10.48;0
Yr2;1273;3;H127;14.8;0
Yr2;1274;4;H127;21.10666667;0
Yr2;1275;5;H127;9.086666667;0
Yr2;1276;6;H127;21.80333333;0
Yr2;1277;7;H127;16.4;0
Yr2;1278;8;H127;22.15666667;0
Yr2;1279;9;H127;34.22;0
Yr2;1281;1;H128;10.55333333;0
Yr2;1282;2;H128;12.27;0
Yr2;1283;3;H128;1.826666667;0
Yr2;1284;4;H128;13.08666667;0
Yr2;1285;5;H128;11.52;0
Yr2;1291;1;H129;9.456666667;0
Yr2;1292;2;H129;19.40666667;0
Yr2;1293;3;H129;5.886666667;0
Yr2;1294;4;H129;23.34;0
Yr2;1295;5;H129;14.51;0
Yr2;1301;1;H130;14.72333333;0
Yr2;1302;2;H130;9.68;0
Yr2;1303;3;H130;16.39;0
Yr2;1304;4;H130;24.86666667;0
Yr2;1305;5;H130;12.13666667;0
Yr2;1306;6;H130;22.60333333;0
Yr2;1307;7;H130;16.92;0
Yr2;1308;8;H130;16;0
Yr2;1309;9;H130;23.52666667;0
Yr2;1311;1;H131;18.31;0
Yr2;1312;2;H131;16.74;0
Yr2;1313;3;H131;9.296666667;0
Yr2;1314;4;H131;27.79;0
Yr2;1315;5;H131;22.79;0
Yr2;1316;6;H131;15.32333333;0
Yr2;1317;7;H131;13.21;0
Yr2;1318;8;H131;18.14333333;0
Yr2;1319;9;H131;12.58333333;0
Yr2;1321;1;H132;11.82;0
Yr2;1322;2;H132;11.34666667;0
Yr2;1323;3;H132;10.27333333;0
Yr2;1324;4;H132;16.28;0
Yr2;1325;5;H132;11.11;0
Yr2;1326;6;H132;16.59666667;0
Yr2;1327;7;H132;12.73;0
Yr2;1328;8;H132;14.31333333;0
Yr2;1329;9;H132;19.645;0
Yr2;1331;1;H133;9.845;0
Yr2;1332;2;H133;3.13;0
Yr2;1333;3;H133;23.37333333;0
Yr2;1334;4;H133;12.3;0
Yr2;1335;5;H133;18.70333333;0
Yr2;1346;6;H134;26.99333333;0
Yr2;1347;7;H134;14.47666667;0
Yr2;1348;8;H134;8.496666667;0
Yr2;1349;9;H134;20.83666667;0
Yr2;1351;1;H135;17.73;0
Yr2;1352;2;H135;21.13;0
Yr2;1353;3;H135;17.42;0
Yr2;1354;4;H135;15.78666667;0
Yr2;1355;5;H135;19.47666667;0
Yr2;1356;6;H135;16.72;0
Yr2;1357;7;H135;14.30666667;0
Yr2;1358;8;H135;22.85666667;0
Yr2;1359;9;H135;11.88333333;0
Yr2;1361;1;H136;13.86333333;0
Yr2;1362;2;H136;5.78;0
Yr2;1363;3;H136;14.13333333;0
Yr2;1364;4;H136;15.04333333;0
Yr2;1365;5;H136;15.785;0
Yr2;1366;6;H136;24.28;0
Yr2;1367;7;H136;14.00333333;0
Yr2;1368;8;H136;20.44666667;0
Yr2;1369;9;H136;14.17666667;0
Yr2;1371;1;H137;17.88;0
Yr2;1372;2;H137;10.22333333;0
Yr2;1373;3;H137;18.48333333;0
Yr2;1374;4;H137;23.82;0
Yr2;1375;5;H137;17.65666667;0
Yr2;1376;6;H137;22.31;0
Yr2;1377;7;H137;15.32;0
Yr2;1378;8;H137;29.05333333;0
Yr2;1379;9;H137;18.13333333;0
Yr2;1381;1;H138;9.12;0
Yr2;1382;2;H138;19.15;0
Yr2;1383;3;H138;28.03;0
Yr2;1384;4;H138;14.78333333;0
Yr2;1385;5;H138;14.36;0
Yr2;1386;6;H138;23.76;0
Yr2;1387;7;H138;19.41666667;0
Yr2;1388;8;H138;15.05333333;0
Yr2;1389;9;H138;10.11;0
Yr2;1401;1;H140;22.935;0
Yr2;1402;2;H140;26.06333333;0
Yr2;1403;3;H140;20.09333333;0
Yr2;1404;4;H140;22.58;1
Yr2;1405;5;H140;9.973333333;0
